,Age,Sex,Job,Housing,Saving accounts,Checking account,Duration,Risk,Purpose
0,67,male,2,own,,little,6,good,radio/TV
1,22,female,2,own,little,moderate,48,bad,radio/TV
2,49,male,1,own,little,,12,good,education
3,45,male,2,free,little,little,42,good,furniture/equipment
4,53,male,2,free,little,little,24,bad,education
5,35,male,1,free,,,36,good,education
6,53,male,2,own,quite rich,,24,good,furniture/equipment
7,35,male,3,rent,little,moderate,36,good,car
8,61,male,1,own,rich,,12,good,radio/TV
9,28,male,3,own,little,moderate,30,bad,car
10,25,female,2,rent,little,moderate,12,bad,car
11,24,female,2,rent,little,little,48,bad,business
12,22,female,2,own,little,moderate,12,good,radio/TV
13,60,male,1,own,little,little,24,bad,car
14,28,female,2,rent,little,little,15,good,car
15,32,female,1,own,moderate,little,24,bad,radio/TV
16,53,male,2,own,,,24,good,radio/TV
17,25,male,2,own,,little,30,good,business
18,44,female,3,free,little,moderate,24,bad,car
19,31,male,2,own,quite rich,,24,good,radio/TV
20,48,male,2,own,little,,9,good,car
21,44,male,2,rent,quite rich,little,6,good,radio/TV
22,48,male,1,rent,little,little,10,good,car
23,44,male,2,own,moderate,moderate,12,good,car
24,26,male,2,own,,,10,good,furniture/equipment
25,36,male,1,own,little,little,6,good,furniture/equipment
26,39,male,1,own,little,,6,good,radio/TV
27,42,female,2,rent,rich,rich,12,good,radio/TV
28,34,male,2,own,little,moderate,7,good,radio/TV
29,63,male,2,own,little,little,60,bad,business
30,36,male,2,own,rich,moderate,18,good,business
31,27,male,2,own,little,little,24,good,furniture/equipment
32,30,male,2,own,moderate,moderate,18,good,car
33,57,male,1,rent,,,12,good,business
34,33,female,3,own,little,rich,12,good,furniture/equipment
35,25,male,1,own,little,moderate,45,bad,radio/TV
36,31,male,2,free,little,,48,good,education
37,37,male,2,own,little,rich,18,bad,radio/TV
38,37,male,2,own,little,rich,10,good,domestic appliances
39,24,male,2,own,little,moderate,9,good,radio/TV
40,30,male,3,own,quite rich,,30,good,radio/TV
41,26,male,2,own,quite rich,moderate,12,good,radio/TV
42,44,male,1,own,little,moderate,18,good,repairs
43,24,male,2,rent,moderate,little,30,good,car
44,58,female,1,free,little,little,48,bad,car
45,35,female,3,own,little,,11,good,car
46,39,male,2,own,quite rich,,36,good,radio/TV
47,23,female,0,rent,quite rich,little,6,good,car
48,39,male,1,own,little,,11,good,car
49,28,female,2,own,moderate,,12,good,radio/TV
50,29,male,1,own,,moderate,24,good,furniture/equipment
51,30,male,3,own,little,moderate,27,good,car
52,25,male,2,own,little,,12,good,radio/TV
53,31,male,2,own,,,18,good,car
54,57,male,2,free,little,moderate,36,bad,car
55,26,male,1,own,,,6,good,car
56,52,male,3,own,,moderate,12,bad,radio/TV
57,31,female,2,own,little,,36,good,radio/TV
58,23,female,3,own,little,rich,18,good,car
59,23,female,1,rent,little,little,36,bad,furniture/equipment
60,27,male,2,own,little,moderate,9,good,business
61,50,male,2,own,,moderate,15,good,radio/TV
62,61,male,3,free,little,moderate,36,bad,business
63,25,male,2,own,little,moderate,48,bad,business
64,26,female,2,own,little,,24,good,radio/TV
65,48,male,2,own,,,27,good,repairs
66,29,female,2,own,little,,12,good,radio/TV
67,22,male,2,own,rich,moderate,12,good,car
68,37,male,2,free,little,,36,bad,education
69,25,female,2,own,,,36,good,radio/TV
70,30,female,2,own,little,,36,good,car
71,46,male,1,rent,,,7,good,radio/TV
72,51,male,3,free,little,little,8,good,vacation/others
73,41,female,1,own,little,moderate,42,good,business
74,40,male,3,own,,little,36,bad,education
75,66,male,3,free,little,little,12,good,car
76,34,male,2,own,little,little,42,bad,radio/TV
77,51,male,2,own,little,moderate,11,good,radio/TV
78,39,male,1,own,,,54,good,car
79,22,male,2,own,little,moderate,30,good,furniture/equipment
80,44,female,2,own,,,24,bad,radio/TV
81,47,male,2,own,quite rich,,15,good,radio/TV
82,24,female,1,rent,moderate,,18,good,business
83,58,female,1,own,little,little,24,good,vacation/others
84,52,male,1,own,little,little,10,good,radio/TV
85,29,female,3,own,little,,12,good,business
86,27,female,2,own,little,moderate,18,good,furniture/equipment
87,47,male,2,free,moderate,moderate,36,bad,education
88,30,male,3,own,moderate,little,18,good,car
89,28,male,2,own,little,little,12,bad,repairs
90,56,male,2,own,little,,12,good,radio/TV
91,54,male,2,own,little,little,12,good,car
92,33,female,1,own,,,12,bad,radio/TV
93,20,male,2,rent,,rich,24,good,furniture/equipment
94,54,male,2,own,rich,moderate,12,good,car
95,58,male,2,rent,little,moderate,54,bad,business
96,61,female,2,own,,,12,good,education
97,34,male,2,own,moderate,moderate,18,good,business
98,36,male,2,own,little,moderate,36,good,radio/TV
99,36,male,3,rent,,moderate,20,good,car
100,41,male,1,rent,moderate,,24,good,car
101,24,male,2,rent,little,moderate,36,good,radio/TV
102,24,female,2,own,little,,6,good,radio/TV
103,35,male,2,rent,little,moderate,9,good,furniture/equipment
104,26,male,2,rent,,,12,good,car
105,39,male,3,own,little,moderate,24,bad,vacation/others
106,39,male,3,own,little,,18,bad,car
107,32,male,2,own,little,moderate,12,good,car
108,30,female,2,own,,little,24,good,furniture/equipment
109,35,male,2,own,quite rich,moderate,14,good,business
110,31,male,2,own,moderate,moderate,6,good,business
111,23,female,2,rent,little,rich,15,good,education
112,28,male,1,rent,little,moderate,18,good,car
113,25,female,2,own,little,,36,bad,car
114,35,male,2,own,quite rich,little,12,good,radio/TV
115,47,male,2,own,,,48,good,radio/TV
116,30,female,3,own,,little,42,bad,radio/TV
117,27,female,2,rent,,little,10,good,furniture/equipment
118,23,female,2,own,quite rich,little,33,bad,furniture/equipment
119,36,male,3,own,quite rich,moderate,12,good,car
120,25,female,2,own,little,little,21,bad,radio/TV
121,41,female,3,rent,little,,24,good,car
122,24,male,1,rent,little,,12,good,furniture/equipment
123,63,male,2,free,little,rich,10,good,car
124,27,female,2,rent,,moderate,18,bad,furniture/equipment
125,30,male,2,own,little,little,12,good,car
126,40,male,1,own,little,little,12,good,radio/TV
127,30,male,2,own,little,moderate,12,bad,repairs
128,34,male,3,own,little,moderate,12,good,car
129,29,female,2,own,little,little,12,bad,car
130,24,female,2,own,,moderate,48,good,car
131,29,male,2,own,little,little,36,bad,education
132,27,male,1,own,little,,15,good,furniture/equipment
133,47,male,2,free,little,,18,good,furniture/equipment
134,21,female,2,own,moderate,,60,good,radio/TV
135,38,female,2,own,,,12,good,radio/TV
136,27,male,2,own,rich,,27,good,car
137,66,male,1,own,quite rich,moderate,12,bad,radio/TV
138,35,male,2,own,,moderate,15,good,radio/TV
139,44,female,1,rent,little,rich,12,good,radio/TV
140,27,male,0,own,rich,rich,6,good,car
141,30,female,3,own,little,moderate,36,good,radio/TV
142,27,male,3,own,little,little,27,good,radio/TV
143,22,male,2,own,little,little,18,bad,furniture/equipment
144,23,female,2,own,little,,21,good,furniture/equipment
145,30,male,2,own,moderate,moderate,48,good,business
146,39,female,2,own,little,little,6,good,car
147,51,female,2,own,moderate,,12,good,car
148,28,male,2,own,little,little,36,good,furniture/equipment
149,46,male,2,own,rich,,18,good,radio/TV
150,42,male,2,free,moderate,,6,good,radio/TV
151,38,male,2,own,little,,10,good,radio/TV
152,24,male,2,own,little,rich,36,good,radio/TV
153,29,female,2,rent,rich,moderate,24,good,car
154,36,male,3,rent,moderate,moderate,24,good,business
155,20,female,2,rent,little,little,12,bad,furniture/equipment
156,48,male,2,own,moderate,little,9,good,repairs
157,45,male,1,own,little,little,12,good,education
158,38,male,2,own,moderate,moderate,24,good,car
159,34,male,1,own,,,6,good,radio/TV
160,36,male,2,own,moderate,,24,good,radio/TV
161,30,female,2,own,little,,18,good,car
162,36,male,2,own,quite rich,,15,good,domestic appliances
163,70,male,3,free,little,moderate,10,good,car
164,36,male,2,own,quite rich,,36,good,car
165,32,male,2,own,quite rich,,6,good,furniture/equipment
166,33,female,2,own,little,little,18,bad,furniture/equipment
167,20,female,2,own,rich,moderate,11,good,furniture/equipment
168,25,female,2,rent,little,,24,good,furniture/equipment
169,31,male,2,own,little,moderate,24,bad,business
170,33,male,2,rent,little,little,15,bad,car
171,26,female,2,own,little,,12,good,furniture/equipment
172,34,female,3,own,little,moderate,24,bad,furniture/equipment
173,33,male,2,own,little,moderate,8,good,radio/TV
174,26,male,2,own,little,little,21,bad,education
175,53,female,3,own,,,30,bad,car
176,42,male,2,own,little,little,12,good,furniture/equipment
177,52,male,2,own,quite rich,little,6,good,radio/TV
178,31,male,3,rent,little,,12,good,radio/TV
179,65,male,2,own,little,little,21,good,car
180,28,male,2,own,little,,36,bad,business
181,30,male,3,own,little,moderate,36,bad,business
182,40,male,1,own,,little,21,bad,car
183,50,male,2,own,rich,,24,good,furniture/equipment
184,36,male,2,own,little,moderate,18,bad,car
185,31,male,2,own,little,,15,good,radio/TV
186,74,female,3,free,little,moderate,9,bad,car
187,68,male,0,free,little,moderate,16,good,car
188,20,male,2,own,moderate,little,12,bad,radio/TV
189,33,female,2,own,little,moderate,18,good,furniture/equipment
190,54,male,3,own,rich,,24,bad,business
191,34,male,1,free,moderate,moderate,48,bad,business
192,36,male,2,own,little,moderate,27,bad,business
193,29,male,2,rent,little,,6,good,radio/TV
194,21,male,2,rent,moderate,moderate,45,bad,radio/TV
195,34,female,3,own,little,moderate,9,bad,education
196,28,female,2,own,little,,6,good,radio/TV
197,27,female,2,rent,moderate,moderate,12,bad,furniture/equipment
198,36,male,2,free,,moderate,24,good,car
199,40,male,3,own,little,moderate,18,bad,furniture/equipment
200,52,male,2,own,quite rich,,9,good,education
201,27,male,1,own,little,little,12,good,car
202,26,male,2,own,little,,27,good,business
203,21,male,2,rent,little,little,12,bad,education
204,38,male,1,own,little,,12,good,car
205,38,male,3,free,little,little,30,good,car
206,43,male,2,own,little,,12,good,furniture/equipment
207,26,male,2,own,little,moderate,12,good,domestic appliances
208,21,male,1,own,little,little,24,good,business
209,55,male,2,own,rich,,12,good,car
210,33,male,2,own,,,9,good,radio/TV
211,45,female,1,own,,,36,good,radio/TV
212,50,male,2,own,little,little,27,bad,business
213,66,male,3,own,little,rich,30,bad,business
214,51,male,2,own,,,36,good,radio/TV
215,39,female,1,own,,moderate,6,good,education
216,31,male,2,own,little,little,18,good,business
217,23,male,2,own,little,rich,36,good,radio/TV
218,24,male,1,rent,little,little,24,good,furniture/equipment
219,64,female,2,own,little,,10,good,car
220,26,male,1,own,little,moderate,12,good,radio/TV
221,23,female,2,rent,,little,12,good,education
222,30,male,2,own,little,,12,good,radio/TV
223,32,male,2,own,,,24,good,business
224,30,male,2,own,little,,15,good,car
225,27,male,2,own,little,,36,good,repairs
226,27,male,2,own,rich,moderate,48,bad,radio/TV
227,53,male,3,free,little,little,12,bad,furniture/equipment
228,22,male,2,own,little,,9,bad,radio/TV
229,22,male,2,free,little,little,24,good,furniture/equipment
230,26,male,2,own,little,rich,36,bad,radio/TV
231,51,male,1,free,quite rich,,9,good,car
232,35,male,2,own,moderate,,12,good,radio/TV
233,25,male,1,own,little,moderate,18,good,radio/TV
234,42,male,1,own,little,,4,good,radio/TV
235,30,male,3,own,little,little,24,bad,radio/TV
236,23,male,0,own,,moderate,6,bad,car
237,61,male,1,rent,moderate,moderate,21,bad,business
238,35,female,2,own,little,,12,good,radio/TV
239,39,male,2,own,little,little,30,good,radio/TV
240,29,female,2,own,,little,24,bad,radio/TV
241,51,male,2,own,little,,6,good,radio/TV
242,24,male,2,free,little,little,48,bad,car
243,27,female,2,own,little,,12,good,business
244,35,female,1,own,quite rich,,12,good,education
245,25,male,2,own,little,,24,good,business
246,52,male,2,own,little,,12,good,radio/TV
247,35,male,2,rent,moderate,,6,good,car
248,26,male,2,own,little,rich,24,good,furniture/equipment
249,22,female,2,rent,little,,18,bad,radio/TV
250,39,female,1,own,rich,little,6,good,car
251,46,female,1,own,little,rich,12,good,furniture/equipment
252,24,female,2,own,little,moderate,30,bad,car
253,35,male,2,own,moderate,,24,good,furniture/equipment
254,24,male,2,own,,moderate,9,good,furniture/equipment
255,27,male,1,own,,moderate,60,good,radio/TV
256,35,male,1,own,little,,24,good,radio/TV
257,29,male,2,free,little,little,12,bad,radio/TV
258,23,female,2,own,moderate,,15,good,car
259,57,female,1,own,moderate,,11,good,radio/TV
260,27,male,2,own,little,little,12,good,furniture/equipment
261,55,female,2,own,little,little,24,good,radio/TV
262,36,male,3,free,little,little,18,good,car
263,57,female,1,free,little,,12,good,education
264,32,male,1,own,little,,10,good,car
265,37,male,2,own,little,moderate,15,bad,radio/TV
266,36,male,2,own,,,36,good,business
267,38,female,2,own,little,,24,good,radio/TV
268,45,male,3,own,little,little,14,bad,car
269,25,male,2,own,,,24,good,radio/TV
270,32,male,2,own,,,18,good,car
271,37,female,2,rent,quite rich,,12,good,furniture/equipment
272,36,male,3,free,,moderate,48,good,car
273,28,male,2,own,little,moderate,48,bad,radio/TV
274,34,male,1,own,little,little,30,bad,repairs
275,32,male,2,own,little,,9,good,radio/TV
276,26,female,2,own,little,,18,good,radio/TV
277,49,male,1,own,,little,12,good,furniture/equipment
278,32,female,2,own,little,,6,bad,furniture/equipment
279,29,male,3,rent,moderate,,24,good,radio/TV
280,23,male,2,rent,rich,,15,good,car
281,50,male,2,own,little,,12,good,furniture/equipment
282,49,male,1,own,,rich,18,good,radio/TV
283,63,male,2,own,,,15,good,furniture/equipment
284,37,male,2,own,moderate,moderate,24,good,car
285,35,female,1,own,little,little,47,good,car
286,26,male,2,own,little,little,48,good,car
287,31,male,3,free,moderate,moderate,48,good,vacation/others
288,49,female,2,own,little,moderate,12,good,radio/TV
289,48,male,2,own,little,little,24,bad,radio/TV
290,26,male,2,own,little,,12,good,business
291,28,male,3,rent,little,moderate,36,bad,car
292,44,female,3,free,little,little,24,good,car
293,56,male,2,free,little,rich,42,good,car
294,46,male,3,own,,,48,good,business
295,26,female,2,own,little,moderate,48,bad,furniture/equipment
296,20,female,2,rent,,,12,good,car
297,45,male,1,own,,,10,good,car
298,43,male,2,own,little,,18,good,furniture/equipment
299,32,male,2,own,rich,moderate,21,good,furniture/equipment
300,54,female,0,own,little,,6,good,car
301,42,female,2,own,little,moderate,36,bad,radio/TV
302,37,male,1,own,,rich,24,bad,car
303,49,male,2,own,little,little,10,good,car
304,44,male,2,free,quite rich,,48,bad,car
305,33,male,2,own,rich,,6,good,furniture/equipment
306,24,female,1,rent,,,30,good,car
307,33,male,1,own,moderate,little,12,bad,radio/TV
308,24,female,2,own,little,moderate,8,bad,furniture/equipment
309,22,male,1,rent,little,moderate,9,good,car
310,40,male,0,free,,moderate,48,good,vacation/others
311,25,male,2,own,moderate,,24,good,furniture/equipment
312,26,female,2,own,little,rich,24,good,furniture/equipment
313,25,male,1,own,little,moderate,12,bad,car
314,29,male,1,own,,rich,4,good,car
315,31,male,2,own,little,little,36,bad,furniture/equipment
316,38,male,1,own,little,little,12,good,furniture/equipment
317,48,female,1,own,,moderate,24,good,furniture/equipment
318,32,male,2,own,little,,12,good,education
319,27,female,1,own,little,little,15,good,furniture/equipment
320,28,male,3,own,little,moderate,30,bad,car
321,32,male,2,own,little,little,24,bad,radio/TV
322,34,male,3,free,little,little,24,good,car
323,28,male,2,own,rich,little,18,good,furniture/equipment
324,36,female,2,own,little,,18,good,car
325,39,male,1,own,little,little,8,good,car
326,49,male,2,rent,,,12,good,furniture/equipment
327,34,female,2,own,rich,,24,good,car
328,31,male,2,own,little,rich,36,good,radio/TV
329,28,male,2,own,little,moderate,6,good,radio/TV
330,75,male,3,free,little,little,24,good,car
331,30,female,2,own,moderate,,18,bad,education
332,24,female,3,own,moderate,moderate,60,bad,car
333,24,female,1,rent,moderate,,48,bad,car
334,23,male,2,rent,little,little,24,bad,furniture/equipment
335,44,male,3,rent,little,little,6,bad,furniture/equipment
336,23,female,1,own,little,moderate,13,good,radio/TV
337,24,female,2,rent,,little,15,bad,domestic appliances
338,28,male,2,own,little,little,24,good,furniture/equipment
339,31,male,1,own,little,moderate,10,good,furniture/equipment
340,24,female,2,free,little,moderate,24,good,education
341,26,female,1,rent,little,little,21,good,furniture/equipment
342,25,male,2,rent,quite rich,moderate,18,good,radio/TV
343,33,male,3,own,little,moderate,18,good,business
344,37,male,1,own,little,rich,10,good,car
345,43,female,1,own,little,,15,good,radio/TV
346,23,male,2,own,little,moderate,13,good,radio/TV
347,23,female,0,rent,quite rich,moderate,24,good,radio/TV
348,34,male,1,own,moderate,,6,good,business
349,32,male,2,free,rich,moderate,9,bad,education
350,23,female,2,rent,little,,9,good,domestic appliances
351,29,female,2,own,little,moderate,9,bad,furniture/equipment
352,38,male,3,own,,,18,good,car
353,28,male,2,rent,little,little,12,bad,radio/TV
354,46,male,2,free,quite rich,,10,good,education
355,23,male,1,own,little,moderate,24,bad,car
356,49,male,2,own,,,12,good,radio/TV
357,26,male,3,own,little,,36,bad,radio/TV
358,28,male,2,own,little,,12,good,radio/TV
359,23,female,2,rent,little,little,30,bad,furniture/equipment
360,61,male,2,free,,moderate,18,good,education
361,37,male,3,own,,rich,12,good,radio/TV
362,36,female,2,own,little,rich,12,good,car
363,21,male,2,rent,little,,6,good,furniture/equipment
364,25,male,0,own,little,little,18,bad,furniture/equipment
365,36,male,2,own,little,,12,good,business
366,27,male,2,own,little,,18,good,car
367,22,female,2,rent,little,little,18,good,furniture/equipment
368,42,male,2,own,little,little,36,bad,furniture/equipment
369,40,female,2,rent,little,moderate,18,good,furniture/equipment
370,36,male,2,own,,,36,good,car
371,33,male,2,own,little,,18,good,radio/TV
372,23,female,2,rent,little,,10,good,furniture/equipment
373,63,male,3,free,,,60,good,car
374,60,female,3,free,moderate,moderate,60,bad,vacation/others
375,37,female,2,rent,little,little,48,bad,business
376,34,male,2,own,little,,18,good,radio/TV
377,36,male,2,free,,,7,good,radio/TV
378,57,male,3,free,little,moderate,36,bad,car
379,52,female,1,own,moderate,,6,good,car
380,39,male,2,own,,little,20,good,furniture/equipment
381,38,female,3,free,little,moderate,18,bad,car
382,25,female,2,rent,,,22,good,car
383,26,male,2,own,little,rich,12,good,car
384,26,male,1,own,moderate,,30,good,business
385,25,female,2,own,little,,18,good,radio/TV
386,21,female,2,rent,,,18,good,radio/TV
387,40,male,3,own,little,moderate,18,good,furniture/equipment
388,27,male,2,own,quite rich,moderate,15,good,business
389,27,female,2,own,little,,9,good,business
390,30,male,3,own,little,,18,good,car
391,19,female,1,rent,rich,moderate,12,good,furniture/equipment
392,39,male,3,free,little,little,36,good,car
393,31,female,2,own,little,little,6,good,radio/TV
394,31,male,3,own,little,,9,good,furniture/equipment
395,32,male,2,rent,moderate,moderate,39,good,education
396,55,female,3,free,little,little,12,good,furniture/equipment
397,46,male,2,own,little,little,36,good,furniture/equipment
398,46,male,2,rent,little,moderate,12,bad,car
399,43,female,1,own,rich,,24,good,radio/TV
400,39,male,2,own,little,,18,good,radio/TV
401,28,male,2,own,,moderate,18,good,business
402,27,male,2,own,little,,24,bad,business
403,27,male,1,own,little,,14,good,car
404,43,male,2,own,,moderate,18,good,car
405,22,male,2,own,little,moderate,24,bad,radio/TV
406,43,male,2,own,,,24,good,car
407,27,male,2,own,little,little,15,good,radio/TV
408,26,male,3,own,quite rich,,24,good,radio/TV
409,28,male,2,own,quite rich,rich,12,bad,car
410,20,female,2,own,little,moderate,24,good,radio/TV
411,35,male,3,own,little,,33,good,car
412,42,male,3,own,little,,12,bad,business
413,40,male,1,rent,quite rich,,10,good,car
414,35,female,2,own,,little,24,bad,radio/TV
415,35,male,2,own,little,,36,good,car
416,33,male,1,own,little,little,12,bad,car
417,23,female,2,rent,,little,18,good,education
418,31,female,3,own,quite rich,,21,good,car
419,33,female,2,own,,moderate,18,bad,car
420,20,female,2,rent,rich,,15,good,car
421,30,male,2,own,,moderate,12,good,car
422,47,male,1,own,little,moderate,12,good,car
423,34,male,3,own,moderate,,21,good,furniture/equipment
424,25,female,2,own,,moderate,12,bad,furniture/equipment
425,21,male,2,rent,little,moderate,18,good,car
426,29,male,2,own,little,,28,good,radio/TV
427,46,male,2,own,rich,,18,good,radio/TV
428,20,male,2,own,little,,9,good,furniture/equipment
429,55,female,0,free,little,little,18,bad,repairs
430,74,male,1,own,little,,5,good,business
431,29,male,3,own,little,moderate,24,bad,vacation/others
432,36,male,3,free,little,little,6,good,furniture/equipment
433,33,male,2,own,little,,24,good,repairs
434,25,male,2,own,little,little,9,good,furniture/equipment
435,25,male,2,own,,moderate,12,bad,radio/TV
436,23,male,1,rent,quite rich,,6,good,repairs
437,37,female,2,own,rich,,24,good,car
438,65,male,0,own,little,little,42,good,repairs
439,26,female,0,own,little,rich,12,bad,business
440,39,male,3,own,little,,12,good,car
441,30,female,2,own,little,little,12,good,furniture/equipment
442,29,male,2,own,little,moderate,20,good,vacation/others
443,41,male,1,own,little,,12,bad,education
444,30,female,3,own,little,moderate,48,bad,furniture/equipment
445,41,female,1,rent,,,9,good,education
446,34,female,2,own,little,little,36,bad,car
447,35,male,2,own,little,moderate,7,good,radio/TV
448,55,female,3,own,,rich,12,good,furniture/equipment
449,61,male,2,own,rich,moderate,15,bad,repairs
450,30,male,3,own,,,36,good,car
451,29,female,2,own,little,,6,good,radio/TV
452,34,male,2,own,little,,12,good,furniture/equipment
453,35,male,3,own,little,,24,good,car
454,31,male,2,own,little,little,24,bad,radio/TV
455,29,female,3,own,little,,24,good,car
456,36,male,2,rent,little,little,11,good,car
457,35,male,2,free,little,little,12,bad,car
458,27,female,2,own,little,little,6,good,domestic appliances
459,32,male,2,own,little,,18,good,radio/TV
460,37,male,2,own,little,little,36,good,furniture/equipment
461,36,male,2,own,little,little,15,good,car
462,34,female,3,rent,little,moderate,12,good,furniture/equipment
463,38,male,2,own,,moderate,12,good,education
464,34,male,2,own,little,,18,good,business
465,63,male,2,own,little,little,24,good,car
466,29,female,1,rent,little,little,24,bad,radio/TV
467,32,male,2,own,,,48,good,radio/TV
468,26,female,2,own,little,,33,good,business
469,35,male,1,own,little,,24,good,car
470,22,male,2,rent,moderate,moderate,24,bad,radio/TV
471,23,female,2,own,little,little,6,bad,education
472,28,male,1,own,little,little,9,bad,car
473,36,male,3,own,,,6,good,education
474,33,male,2,own,little,moderate,18,bad,radio/TV
475,26,female,2,rent,little,little,18,bad,furniture/equipment
476,24,male,2,own,quite rich,,39,good,car
477,25,male,2,own,little,rich,24,good,radio/TV
478,39,male,1,own,moderate,moderate,12,good,business
479,44,male,2,own,little,little,15,good,furniture/equipment
480,23,female,1,own,little,moderate,12,good,radio/TV
481,26,male,2,own,little,moderate,24,good,car
482,57,female,2,rent,rich,little,30,good,furniture/equipment
483,30,female,2,own,rich,,15,good,furniture/equipment
484,44,male,2,own,quite rich,,12,good,car
485,47,male,3,own,little,moderate,6,bad,car
486,52,male,2,own,little,,12,good,radio/TV
487,62,female,2,free,little,,24,good,car
488,35,male,1,rent,moderate,,10,good,car
489,26,male,2,rent,little,,6,good,car
490,26,male,2,own,little,,12,good,radio/TV
491,42,female,3,free,little,moderate,27,bad,business
492,27,female,2,own,moderate,,6,good,radio/TV
493,38,male,2,own,,moderate,6,good,radio/TV
494,39,male,1,rent,little,little,12,good,car
495,20,male,2,own,,little,24,bad,furniture/equipment
496,29,male,3,rent,moderate,moderate,36,bad,furniture/equipment
